VideoName,NumberOfFramesWithKeypointDetections,TotalFrames,Percentage
Abuse047_x264,228,261,90.0
Abuse048_x264,371,569,70.0
Abuse021_x264,62,319,20.0
Abuse026_x264,319,331,100.0
Abuse018_x264,398,405,100.0
Abuse046_x264,98,193,50.0
Abuse038_x264,129,149,90.0
Abuse041_x264,76,231,30.0
Abuse011_x264,121,608,20.0
Abuse007_x264,186,192,100.0
Abuse008_x264,1275,1401,90.0
Abuse022_x264,470,472,100.0
Abuse013_x264,812,812,100.0
Abuse028_x264,74,235,30.0
Abuse040_x264,476,569,80.0
Abuse005_x264,157,158,100.0
Abuse006_x264,223,730,30.0
Abuse016_x264,73,235,30.0
Abuse015_x264,948,1313,70.0
Abuse027_x264,399,729,50.0
Abuse024_x264,18,170,10.0
Abuse023_x264,143,165,90.0
Abuse012_x264,753,855,90.0
Abuse009_x264,111,167,70.0
Abuse043_x264,586,645,90.0
Abuse042_x264,233,4746,0.0
Abuse037_x264,73,299,20.0
Abuse034_x264,157,261,60.0
Abuse004_x264,1717,2799,60.0
Abuse029_x264,25,50,50.0
Abuse031_x264,635,740,90.0
Abuse025_x264,72,339,20.0
Abuse033_x264,434,472,90.0
Abuse035_x264,328,442,70.0
Abuse001_x264,305,455,70.0
Abuse045_x264,840,848,100.0
Abuse020_x264,203,517,40.0
Abuse032_x264,359,792,50.0
Abuse050_x264,711,810,90.0
Abuse030_x264,49,257,20.0
Abuse002_x264,110,144,80.0
Abuse044_x264,632,657,100.0
Abuse010_x264,91,189,50.0
Abuse036_x264,732,784,90.0
Abuse039_x264,1957,2357,80.0
Abuse014_x264,162,432,40.0
Abuse003_x264,418,617,70.0
Abuse017_x264,10,320,0.0
Abuse049_x264,208,356,60.0
Abuse019_x264,632,657,100.0
Normal_Videos481_x264,274,1500,20.0
Normal_Videos090_x264,5392,6848,80.0
Normal_Videos440_x264,136,138,100.0
Normal_Videos280_x264,326,425,80.0
Normal_Videos328_x264,101,252,40.0
Normal_Videos339_x264,783,1500,50.0
Normal_Videos163_x264,244,551,40.0
Arrest042_x264,255,265,100.0
Arrest038_x264,366,366,100.0
Arrest040_x264,79,296,30.0
Arrest005_x264,387,614,60.0
Arrest023_x264,204,301,70.0
Arrest039_x264,1549,2639,60.0
Arrest007_x264,287,524,50.0
Arrest001_x264,256,396,60.0
Arrest009_x264,105,286,40.0
Arrest037_x264,169,355,50.0
Arrest002_x264,251,298,80.0
Arrest032_x264,245,281,90.0
Arrest016_x264,1536,1764,90.0
Arrest003_x264,477,509,90.0
Arrest043_x264,580,1800,30.0
Arrest018_x264,203,406,50.0
Arrest004_x264,538,601,90.0
Arrest044_x264,137,569,20.0
Arrest011_x264,367,369,100.0
Arrest047_x264,7721,10510,70.0
Arrest008_x264,182,1065,20.0
Arrest026_x264,1009,1081,90.0
Arrest048_x264,188,680,30.0
Arrest030_x264,387,1440,30.0
Arrest033_x264,1055,1291,80.0
Arrest013_x264,1,186,0.0
Arrest017_x264,9,572,0.0
Arrest021_x264,1024,1456,70.0
Arrest051_x264,1508,1800,80.0
Arrest022_x264,261,266,100.0
Arrest029_x264,928,1294,70.0
Arrest006_x264,365,515,70.0
Arrest046_x264,1262,1314,100.0
Arrest014_x264,167,256,70.0
Arrest015_x264,69,163,40.0
Arrest010_x264,152,437,30.0
Arrest036_x264,463,638,70.0
Arrest025_x264,106,176,60.0
Arrest041_x264,169,641,30.0
Arrest050_x264,301,1186,30.0
Arrest049_x264,1343,1967,70.0
Arrest028_x264,185,416,40.0
Arrest034_x264,1027,1937,50.0
Arrest035_x264,84,1031,10.0
Arrest019_x264,163,232,70.0
Arrest020_x264,257,490,50.0
Arrest024_x264,404,605,70.0
Arrest027_x264,22,285,10.0
Arrest031_x264,269,308,90.0
Arrest012_x264,1145,2694,40.0
Fighting035_x264,18,160,10.0
Fighting013_x264,202,239,80.0
Fighting016_x264,95,484,20.0
Fighting041_x264,746,5274,10.0
Fighting034_x264,793,1044,80.0
Fighting006_x264,157,157,100.0
Fighting040_x264,232,388,60.0
Fighting002_x264,85,448,20.0
Fighting050_x264,4066,4377,90.0
Fighting049_x264,256,258,100.0
Fighting004_x264,2553,2796,90.0
Fighting042_x264,120,373,30.0
Fighting017_x264,214,346,60.0
Fighting048_x264,400,1148,30.0
Fighting011_x264,1347,1373,100.0
Fighting047_x264,716,743,100.0
Fighting015_x264,84,1654,10.0
Fighting010_x264,747,978,80.0
Fighting012_x264,57,195,30.0
Fighting030_x264,272,374,70.0
Fighting026_x264,135,584,20.0
Fighting009_x264,300,355,80.0
Fighting014_x264,783,784,100.0
Fighting044_x264,1035,1048,100.0
Fighting033_x264,183,184,100.0
Fighting021_x264,331,595,60.0
Robbery130_x264,55,306,20.0
Robbery075_x264,176,487,40.0
Robbery150_x264,511,618,80.0
Robbery016_x264,61,276,20.0
Robbery024_x264,359,399,90.0
Robbery034_x264,1020,1055,100.0
Robbery053_x264,154,306,50.0
Robbery112_x264,119,229,50.0
Robbery013_x264,40,607,10.0
Robbery069_x264,60,115,50.0
Robbery066_x264,413,797,50.0
Robbery057_x264,117,358,30.0
Robbery003_x264,126,164,80.0
Robbery020_x264,631,734,90.0
Robbery049_x264,151,330,50.0
Robbery014_x264,1661,2546,70.0
Robbery048_x264,139,235,60.0
Robbery062_x264,483,602,80.0
Robbery009_x264,198,534,40.0
Robbery017_x264,95,726,10.0
Robbery001_x264,59,165,40.0
Robbery110_x264,146,425,30.0
Robbery056_x264,123,460,30.0
Robbery122_x264,43,172,20.0
Robbery132_x264,55,110,50.0
Robbery054_x264,32,330,10.0
Robbery147_x264,76,147,50.0
Robbery119_x264,165,511,30.0
Robbery010_x264,289,510,60.0
Robbery006_x264,39,567,10.0
Robbery144_x264,134,134,100.0
Robbery007_x264,127,344,40.0
Robbery129_x264,101,374,30.0
Robbery145_x264,44,224,20.0
Robbery107_x264,127,281,50.0
Robbery103_x264,116,365,30.0
Robbery083_x264,20,161,10.0
Robbery113_x264,32,136,20.0
Robbery051_x264,95,266,40.0
Robbery011_x264,19,271,10.0
Robbery045_x264,75,555,10.0
Robbery089_x264,41,45,90.0
Robbery104_x264,83,291,30.0
Robbery052_x264,123,600,20.0
Robbery037_x264,205,1455,10.0
Robbery061_x264,174,614,30.0
Robbery074_x264,118,131,90.0
Robbery116_x264,10,75,10.0
Robbery029_x264,223,364,60.0
Robbery128_x264,282,1100,30.0
Robbery139_x264,87,164,50.0
Robbery070_x264,74,99,70.0
Robbery123_x264,85,181,50.0
Robbery033_x264,28,158,20.0
Robbery111_x264,684,951,70.0
